1 2 3 
5 6 11 

3 4 7 
2 1 12 
11 6 5 

3 4 7 
8 9 10 
5 2 1 

3 4 7 
8 9 10 
11 2 1 

3 4 7 
10 1 6 
9 2 5 

3 4 7 
10 1 6 
9 2 11 

3 4 7 
10 1 12 
9 2 5 

3 4 7 
10 1 12 
9 2 11 

3 4 9 
2 1 10 
5 6 7 

3 4 9 
2 1 10 
5 12 7 

3 4 9 
2 1 10 
11 6 7 

3 4 9 
2 1 10 
11 12 7 

3 4 9 
10 1 2 
7 6 5 

3 4 9 
10 1 2 
7 6 11 

3 4 9 
10 1 2 
7 12 5 

3 4 9 
10 1 2 
7 12 11 

3 8 5 
2 11 6 
1 12 7 

3 8 5 
2 11 12 
1 6 7 

3 8 5 
4 9 2 
7 10 1 

3 8 5 
10 9 2 
7 4 1 

3 8 11 
2 5 6 
1 12 7 

3 8 11 
2 5 12 
1 6 7 

3 8 11 
4 9 2 
7 10 1 

3 8 11 
10 9 2 
7 4 1 

3 10 7 
2 1 6 
5 12 11 

3 10 7 
2 1 6 
11 12 5 

3 10 7 
2 1 12 
5 6 11 

3 10 7 
2 1 12 
11 6 5 

3 10 7 
4 1 6 
9 2 5 

3 10 7 
4 1 6 
9 2 11 

3 10 7 
4 1 12 
9 2 5 

3 10 7 
4 1 12 
9 2 11 

3 10 7 
8 9 4 
5 2 1 

3 10 7 
8 9 4 
11 2 1 

3 10 9 
2 1 4 
5 6 7 

3 10 9 
2 1 4 
5 12 7 

3 10 9 
2 1 4 
11 6 7 

3 10 9 
2 1 4 
11 12 7 

3 10 9 
4 1 2 
7 6 5 

3 10 9 
4 1 2 
7 6 11 

3 10 9 
4 1 2 
7 12 5 

3 10 9 
4 1 2 
7 12 11 

4 1 2 
7 6 5 
12 11 8 

4 1 2 
7 6 11 
12 5 8 

4 1 2 
7 12 5 
6 11 8 

4 1 2 
7 12 11 
6 5 8 

4 1 6 
3 2 5 
8 11 12 

4 1 6 
3 2 5 
10 9 8 

4 1 6 
3 2 11 
8 5 12 

4 1 6 
3 2 11 
10 9 8 

4 1 6 
9 2 5 
8 11 12 

4 1 6 
9 2 5 
10 3 8 

4 1 6 
9 2 11 
8 5 12 

4 1 6 
9 2 11 
10 3 8 

4 1 12 
3 2 5 
8 11 6 

4 1 12 
3 2 5 
10 9 8 

4 1 12 
3 2 11 
8 5 6 

4 1 12 
3 2 11 
10 9 8 

4 1 12 
9 2 5 
8 11 6 

4 1 12 
9 2 5 
10 3 8 

4 1 12 
9 2 11 
8 5 6 

4 1 12 
9 2 11 
10 3 8 

4 3 8 
1 2 5 
6 11 12 

4 3 8 
1 2 5 
12 11 6 

4 3 8 
1 2 11 
6 5 12 

4 3 8 
1 2 11 
12 5 6 

4 3 8 
7 10 9 
6 1 2 

4 3 8 
7 10 9 
12 1 2 

4 3 8 
9 2 5 
10 1 6 

4 3 8 
9 2 5 
10 1 12 

4 3 8 
9 2 11 
10 1 6 

4 3 8 
9 2 11 
10 1 12 

4 3 10 
1 2 9 
6 5 8 

4 3 10 
1 2 9 
6 11 8 

4 3 10 
1 2 9 
12 5 8 

4 3 10 
1 2 9 
12 11 8 

4 3 10 
9 2 1 
8 5 6 

4 3 10 
9 2 1 
8 5 12 

4 3 10 
9 2 1 
8 11 6 

4 3 10 
9 2 1 
8 11 12 

4 7 6 
1 12 5 
2 11 8 

4 7 6 
1 12 11 
2 5 8 

4 7 6 
3 10 1 
8 9 2 

4 7 6 
9 10 1 
8 3 2 

4 7 12 
1 6 5 
2 11 8 

4 7 12 
1 6 11 
2 5 8 

4 7 12 
3 10 1 
8 9 2 

4 7 12 
9 10 1 
8 3 2 

4 9 8 
1 2 5 
6 11 12 

4 9 8 
1 2 5 
12 11 6 

4 9 8 
1 2 11 
6 5 12 

4 9 8 
1 2 11 
12 5 6 

4 9 8 
3 2 5 
10 1 6 

4 9 8 
3 2 5 
10 1 12 

4 9 8 
3 2 11 
10 1 6 

4 9 8 
3 2 11 
10 1 12 

4 9 8 
7 10 3 
6 1 2 

4 9 8 
7 10 3 
12 1 2 

4 9 10 
1 2 3 
6 5 8 

4 9 10 
1 2 3 
6 11 8 

4 9 10 
1 2 3 
12 5 8 

4 9 10 
1 2 3 
12 11 8 

4 9 10 
3 2 1 
8 5 6 

4 9 10 
3 2 1 
8 5 12 

4 9 10 
3 2 1 
8 11 6 

4 9 10 
3 2 1 
8 11 12 

5 2 1 
8 3 4 
9 10 7 

5 2 1 
8 3 10 
9 4 7 

5 2 1 
8 9 4 
3 10 7 

5 2 1 
8 9 10 
3 4 7 

5 2 3 
6 1 4 
7 10 9 

5 2 3 
6 1 4 
11 12 7 

5 2 3 
6 1 10 
7 4 9 

5 2 3 
6 1 10 
11 12 7 

5 2 3 
12 1 4 
7 10 9 

5 2 3 
12 1 4 
11 6 7 

5 2 3 
12 1 10 
7 4 9 

5 2 3 
12 1 10 
11 6 7 

5 2 9 
6 1 4 
7 10 3 

5 2 9 
6 1 4 
11 12 7 

5 2 9 
6 1 10 
7 4 3 

5 2 9 
6 1 10 
11 12 7 

5 2 9 
12 1 4 
7 10 3 

5 2 9 
12 1 4 
11 6 7 

5 2 9 
12 1 10 
7 4 3 

5 2 9 
12 1 10 
11 6 7 

5 6 7 
2 1 4 
3 10 9 

5 6 7 
2 1 4 
9 10 3 

5 6 7 
2 1 10 
3 4 9 

5 6 7 
2 1 10 
9 4 3 

5 6 7 
8 11 12 
3 2 1 

5 6 7 
8 11 12 
9 2 1 

5 6 7 
12 1 4 
11 2 3 

5 6 7 
12 1 4 
11 2 9 

5 6 7 
12 1 10 
11 2 3 

5 6 7 
12 1 10 
11 2 9 

5 6 11 
2 1 12 
3 4 7 

5 6 11 
2 1 12 
3 10 7 

5 6 11 
2 1 12 
9 4 7 

5 6 11 
2 1 12 
9 10 7 

5 6 11 
12 1 2 
7 4 3 

5 6 11 
12 1 2 
7 4 9 

5 6 11 
12 1 2 
7 10 3 

5 6 11 
12 1 2 
7 10 9 

5 8 3 
2 9 4 
1 10 7 

5 8 3 
2 9 10 
1 4 7 

5 8 3 
6 11 2 
7 12 1 

5 8 3 
12 11 2 
7 6 1 

5 8 9 
2 3 4 
1 10 7 

5 8 9 
2 3 10 
1 4 7 

5 8 9 
6 11 2 
7 12 1 

5 8 9 
12 11 2 
7 6 1 

5 12 7 
2 1 4 
3 10 9 

5 12 7 
2 1 4 
9 10 3 

5 12 7 
2 1 10 
3 4 9 

5 12 7 
2 1 10 
9 4 3 

5 12 7 
6 1 4 
11 2 3 

5 12 7 
6 1 4 
11 2 9 

5 12 7 
6 1 10 
11 2 3 

5 12 7 
6 1 10 
11 2 9 

5 12 7 
8 11 6 
3 2 1 

5 12 7 
8 11 6 
9 2 1 

5 12 11 
2 1 6 
3 4 7 

5 12 11 
2 1 6 
3 10 7 

5 12 11 
2 1 6 
9 4 7 

5 12 11 
2 1 6 
9 10 7 

5 12 11 
6 1 2 
7 4 3 

5 12 11 
6 1 2 
7 4 9 

5 12 11 
6 1 2 
7 10 3 

5 12 11 
6 1 2 
7 10 9 

6 1 2 
7 4 3 
10 9 8 

6 1 2 
7 4 9 
10 3 8 

6 1 2 
7 10 3 
4 9 8 

6 1 2 
7 10 9 
4 3 8 

6 1 4 
5 2 3 
8 9 10 

6 1 4 
5 2 3 
12 11 8 

6 1 4 
5 2 9 
8 3 10 

6 1 4 
5 2 9 
12 11 8 

6 1 4 
11 2 3 
8 9 10 

6 1 4 
11 2 3 
12 5 8 

6 1 4 
11 2 9 
8 3 10 

6 1 4 
11 2 9 
12 5 8 

6 1 10 
5 2 3 
8 9 4 

6 1 10 
5 2 3 
12 11 8 

6 1 10 
5 2 9 
8 3 4 

6 1 10 
5 2 9 
12 11 8 

6 1 10 
11 2 3 
8 9 4 

6 1 10 
11 2 3 
12 5 8 

6 1 10 
11 2 9 
8 3 4 

6 1 10 
11 2 9 
12 5 8 

6 5 8 
1 2 3 
4 9 10 

6 5 8 
1 2 3 
10 9 4 

6 5 8 
1 2 9 
4 3 10 

6 5 8 
1 2 9 
10 3 4 

6 5 8 
7 12 11 
4 1 2 

6 5 8 
7 12 11 
10 1 2 

6 5 8 
11 2 3 
12 1 4 

6 5 8 
11 2 3 
12 1 10 

6 5 8 
11 2 9 
12 1 4 

6 5 8 
11 2 9 
12 1 10 

6 5 12 
1 2 11 
4 3 8 

6 5 12 
1 2 11 
4 9 8 

6 5 12 
1 2 11 
10 3 8 

6 5 12 
1 2 11 
10 9 8 

6 5 12 
11 2 1 
8 3 4 

6 5 12 
11 2 1 
8 3 10 

6 5 12 
11 2 1 
8 9 4 

6 5 12 
11 2 1 
8 9 10 

6 7 4 
1 10 3 
2 9 8 

6 7 4 
1 10 9 
2 3 8 

6 7 4 
5 12 1 
8 11 2 

6 7 4 
11 12 1 
8 5 2 

6 7 10 
1 4 3 
2 9 8 

6 7 10 
1 4 9 
2 3 8 

6 7 10 
5 12 1 
8 11 2 

6 7 10 
11 12 1 
8 5 2 

6 11 8 
1 2 3 
4 9 10 

6 11 8 
1 2 3 
10 9 4 

6 11 8 
1 2 9 
4 3 10 

6 11 8 
1 2 9 
10 3 4 

6 11 8 
5 2 3 
12 1 4 

6 11 8 
5 2 3 
12 1 10 

6 11 8 
5 2 9 
12 1 4 

6 11 8 
5 2 9 
12 1 10 

6 11 8 
7 12 5 
4 1 2 

6 11 8 
7 12 5 
10 1 2 

6 11 12 
1 2 5 
4 3 8 

6 11 12 
1 2 5 
4 9 8 

6 11 12 
1 2 5 
10 3 8 

6 11 12 
1 2 5 
10 9 8 

6 11 12 
5 2 1 
8 3 4 

6 11 12 
5 2 1 
8 3 10 

6 11 12 
5 2 1 
8 9 4 

6 11 12 
5 2 1 
8 9 10 

7 4 1 
10 3 2 
9 8 5 

7 4 1 
10 3 2 
9 8 11 

7 4 1 
10 9 2 
3 8 5 

7 4 1 
10 9 2 
3 8 11 

7 4 3 
6 1 2 
5 12 11 

7 4 3 
6 1 2 
11 12 5 

7 4 3 
6 1 10 
5 2 9 

7 4 3 
6 1 10 
11 2 9 

7 4 3 
10 9 8 
1 2 5 

7 4 3 
10 9 8 
1 2 11 

7 4 3 
12 1 2 
5 6 11 

7 4 3 
12 1 2 
11 6 5 

7 4 3 
12 1 10 
5 2 9 

7 4 3 
12 1 10 
11 2 9 

7 4 9 
6 1 2 
5 12 11 

7 4 9 
6 1 2 
11 12 5 

7 4 9 
6 1 10 
5 2 3 

7 4 9 
6 1 10 
11 2 3 

7 4 9 
10 3 8 
1 2 5 

7 4 9 
10 3 8 
1 2 11 

7 4 9 
12 1 2 
5 6 11 

7 4 9 
12 1 2 
11 6 5 

7 4 9 
12 1 10 
5 2 3 

7 4 9 
12 1 10 
11 2 3 

7 6 1 
12 5 2 
11 8 3 

7 6 1 
12 5 2 
11 8 9 

7 6 1 
12 11 2 
5 8 3 

7 6 1 
12 11 2 
5 8 9 

7 6 5 
4 1 2 
3 10 9 

7 6 5 
4 1 2 
9 10 3 

7 6 5 
4 1 12 
3 2 11 

7 6 5 
4 1 12 
9 2 11 

7 6 5 
10 1 2 
3 4 9 

7 6 5 
10 1 2 
9 4 3 

7 6 5 
10 1 12 
3 2 11 

7 6 5 
10 1 12 
9 2 11 

7 6 5 
12 11 8 
1 2 3 

7 6 5 
12 11 8 
1 2 9 

7 6 11 
4 1 2 
3 10 9 

7 6 11 
4 1 2 
9 10 3 

7 6 11 
4 1 12 
3 2 5 

7 6 11 
4 1 12 
9 2 5 

7 6 11 
10 1 2 
3 4 9 

7 6 11 
10 1 2 
9 4 3 

7 6 11 
10 1 12 
3 2 5 

7 6 11 
10 1 12 
9 2 5 

7 6 11 
12 5 8 
1 2 3 

7 6 11 
12 5 8 
1 2 9 

7 10 1 
4 3 2 
9 8 5 

7 10 1 
4 3 2 
9 8 11 

7 10 1 
4 9 2 
3 8 5 

7 10 1 
4 9 2 
3 8 11 

7 10 3 
4 9 8 
1 2 5 

7 10 3 
4 9 8 
1 2 11 

7 10 3 
6 1 2 
5 12 11 

7 10 3 
6 1 2 
11 12 5 

7 10 3 
6 1 4 
5 2 9 

7 10 3 
6 1 4 
11 2 9 

7 10 3 
12 1 2 
5 6 11 

7 10 3 
12 1 2 
11 6 5 

7 10 3 
12 1 4 
5 2 9 

7 10 3 
12 1 4 
11 2 9 

7 10 9 
4 3 8 
1 2 5 

7 10 9 
4 3 8 
1 2 11 

7 10 9 
6 1 2 
5 12 11 

7 10 9 
6 1 2 
11 12 5 

7 10 9 
6 1 4 
5 2 3 

7 10 9 
6 1 4 
11 2 3 

7 10 9 
12 1 2 
5 6 11 

7 10 9 
12 1 2 
11 6 5 

7 10 9 
12 1 4 
5 2 3 

7 10 9 
12 1 4 
11 2 3 

7 12 1 
6 5 2 
11 8 3 

7 12 1 
6 5 2 
11 8 9 

7 12 1 
6 11 2 
5 8 3 

7 12 1 
6 11 2 
5 8 9 

7 12 5 
4 1 2 
3 10 9 

7 12 5 
4 1 2 
9 10 3 

7 12 5 
4 1 6 
3 2 11 

7 12 5 
4 1 6 
9 2 11 

7 12 5 
6 11 8 
1 2 3 

7 12 5 
6 11 8 
1 2 9 

7 12 5 
10 1 2 
3 4 9 

7 12 5 
10 1 2 
9 4 3 

7 12 5 
10 1 6 
3 2 11 

7 12 5 
10 1 6 
9 2 11 

7 12 11 
4 1 2 
3 10 9 

7 12 11 
4 1 2 
9 10 3 

7 12 11 
4 1 6 
3 2 5 

7 12 11 
4 1 6 
9 2 5 

7 12 11 
6 5 8 
1 2 3 

7 12 11 
6 5 8 
1 2 9 

7 12 11 
10 1 2 
3 4 9 

7 12 11 
10 1 2 
9 4 3 

7 12 11 
10 1 6 
3 2 5 

7 12 11 
10 1 6 
9 2 5 

8 3 2 
9 4 1 
10 7 6 

8 3 2 
9 4 1 
10 7 12 

8 3 2 
9 10 1 
4 7 6 

8 3 2 
9 10 1 
4 7 12 

8 3 4 
5 2 1 
6 11 12 

8 3 4 
5 2 1 
12 11 6 

8 3 4 
5 2 9 
6 1 10 

8 3 4 
5 2 9 
12 1 10 

8 3 4 
9 10 7 
2 1 6 

8 3 4 
9 10 7 
2 1 12 

8 3 4 
11 2 1 
6 5 12 

8 3 4 
11 2 1 
12 5 6 

8 3 4 
11 2 9 
6 1 10 

8 3 4 
11 2 9 
12 1 10 

8 3 10 
5 2 1 
6 11 12 

8 3 10 
5 2 1 
12 11 6 

8 3 10 
5 2 9 
6 1 4 

8 3 10 
5 2 9 
12 1 4 

8 3 10 
9 4 7 
2 1 6 

8 3 10 
9 4 7 
2 1 12 

8 3 10 
11 2 1 
6 5 12 

8 3 10 
11 2 1 
12 5 6 

8 3 10 
11 2 9 
6 1 4 

8 3 10 
11 2 9 
12 1 4 

8 5 2 
11 6 1 
12 7 4 

8 5 2 
11 6 1 
12 7 10 

8 5 2 
11 12 1 
6 7 4 

8 5 2 
11 12 1 
6 7 10 

8 5 6 
3 2 1 
4 9 10 

8 5 6 
3 2 1 
10 9 4 

8 5 6 
3 2 11 
4 1 12 

8 5 6 
3 2 11 
10 1 12 

8 5 6 
9 2 1 
4 3 10 

8 5 6 
9 2 1 
10 3 4 

8 5 6 
9 2 11 
4 1 12 

8 5 6 
9 2 11 
10 1 12 

8 5 6 
11 12 7 
2 1 4 

8 5 6 
11 12 7 
2 1 10 

8 5 12 
3 2 1 
4 9 10 

8 5 12 
3 2 1 
10 9 4 

8 5 12 
3 2 11 
4 1 6 

8 5 12 
3 2 11 
10 1 6 

8 5 12 
9 2 1 
4 3 10 

8 5 12 
9 2 1 
10 3 4 

8 5 12 
9 2 11 
4 1 6 

8 5 12 
9 2 11 
10 1 6 

8 5 12 
11 6 7 
2 1 4 

8 5 12 
11 6 7 
2 1 10 

8 9 2 
3 4 1 
10 7 6 

8 9 2 
3 4 1 
10 7 12 

8 9 2 
3 10 1 
4 7 6 

8 9 2 
3 10 1 
4 7 12 

8 9 4 
3 10 7 
2 1 6 

8 9 4 
3 10 7 
2 1 12 

8 9 4 
5 2 1 
6 11 12 

8 9 4 
5 2 1 
12 11 6 

8 9 4 
5 2 3 
6 1 10 

8 9 4 
5 2 3 
12 1 10 

8 9 4 
11 2 1 
6 5 12 

8 9 4 
11 2 1 
12 5 6 

8 9 4 
11 2 3 
6 1 10 

8 9 4 
11 2 3 
12 1 10 

8 9 10 
3 4 7 
2 1 6 

8 9 10 
3 4 7 
2 1 12 

8 9 10 
5 2 1 
6 11 12 

8 9 10 
5 2 1 
12 11 6 

8 9 10 
5 2 3 
6 1 4 

8 9 10 
5 2 3 
12 1 4 

8 9 10 
11 2 1 
6 5 12 

8 9 10 
11 2 1 
12 5 6 

8 9 10 
11 2 3 
6 1 4 

8 9 10 
11 2 3 
12 1 4 

8 11 2 
5 6 1 
12 7 4 

8 11 2 
5 6 1 
12 7 10 

8 11 2 
5 12 1 
6 7 4 

8 11 2 
5 12 1 
6 7 10 

8 11 6 
3 2 1 
4 9 10 

8 11 6 
3 2 1 
10 9 4 

8 11 6 
3 2 5 
4 1 12 

8 11 6 
3 2 5 
10 1 12 

8 11 6 
5 12 7 
2 1 4 

8 11 6 
5 12 7 
2 1 10 

8 11 6 
9 2 1 
4 3 10 

8 11 6 
9 2 1 
10 3 4 

8 11 6 
9 2 5 
4 1 12 

8 11 6 
9 2 5 
10 1 12 

8 11 12 
3 2 1 
4 9 10 

8 11 12 
3 2 1 
10 9 4 

8 11 12 
3 2 5 
4 1 6 

8 11 12 
3 2 5 
10 1 6 

8 11 12 
5 6 7 
2 1 4 

8 11 12 
5 6 7 
2 1 10 

8 11 12 
9 2 1 
4 3 10 

8 11 12 
9 2 1 
10 3 4 

8 11 12 
9 2 5 
4 1 6 

8 11 12 
9 2 5 
10 1 6 

9 2 1 
8 5 6 
11 12 7 

9 2 1 
8 5 12 
11 6 7 

9 2 1 
8 11 6 
5 12 7 

9 2 1 
8 11 12 
5 6 7 

9 2 5 
4 1 6 
3 10 7 

9 2 5 
4 1 6 
7 12 11 

9 2 5 
4 1 12 
3 10 7 

9 2 5 
4 1 12 
7 6 11 

9 2 5 
10 1 6 
3 4 7 

9 2 5 
10 1 6 
7 12 11 

9 2 5 
10 1 12 
3 4 7 

9 2 5 
10 1 12 
7 6 11 

9 2 11 
4 1 6 
3 10 7 

9 2 11 
4 1 6 
7 12 5 

9 2 11 
4 1 12 
3 10 7 

9 2 11 
4 1 12 
7 6 5 

9 2 11 
10 1 6 
3 4 7 

9 2 11 
10 1 6 
7 12 5 

9 2 11 
10 1 12 
3 4 7 

9 2 11 
10 1 12 
7 6 5 

9 4 3 
2 1 10 
5 6 7 

9 4 3 
2 1 10 
5 12 7 

9 4 3 
2 1 10 
11 6 7 

9 4 3 
2 1 10 
11 12 7 

9 4 3 
10 1 2 
7 6 5 

9 4 3 
10 1 2 
7 6 11 

9 4 3 
10 1 2 
7 12 5 

9 4 3 
10 1 2 
7 12 11 

9 4 7 
2 1 6 
5 12 11 

9 4 7 
2 1 6 
11 12 5 

9 4 7 
2 1 12 
5 6 11 

9 4 7 
2 1 12 
11 6 5 

9 4 7 
8 3 10 
5 2 1 

9 4 7 
8 3 10 
11 2 1 

9 4 7 
10 1 6 
3 2 5 

9 4 7 
10 1 6 
3 2 11 

9 4 7 
10 1 12 
3 2 5 

9 4 7 
10 1 12 
3 2 11 

9 8 5 
2 11 6 
1 12 7 

9 8 5 
2 11 12 
1 6 7 

9 8 5 
4 3 2 
7 10 1 

9 8 5 
10 3 2 
7 4 1 

9 8 11 
2 5 6 
1 12 7 

9 8 11 
2 5 12 
1 6 7 

9 8 11 
4 3 2 
7 10 1 

9 8 11 
10 3 2 
7 4 1 

9 10 3 
2 1 4 
5 6 7 

9 10 3 
2 1 4 
5 12 7 

9 10 3 
2 1 4 
11 6 7 

9 10 3 
2 1 4 
11 12 7 

9 10 3 
4 1 2 
7 6 5 

9 10 3 
4 1 2 
7 6 11 

9 10 3 
4 1 2 
7 12 5 

9 10 3 
4 1 2 
7 12 11 

9 10 7 
2 1 6 
5 12 11 

9 10 7 
2 1 6 
11 12 5 

9 10 7 
2 1 12 
5 6 11 

9 10 7 
2 1 12 
11 6 5 

9 10 7 
4 1 6 
3 2 5 

9 10 7 
4 1 6 
3 2 11 

9 10 7 
4 1 12 
3 2 5 

9 10 7 
4 1 12 
3 2 11 

9 10 7 
8 3 4 
5 2 1 

9 10 7 
8 3 4 
11 2 1 

10 1 2 
7 6 5 
12 11 8 

10 1 2 
7 6 11 
12 5 8 

10 1 2 
7 12 5 
6 11 8 

10 1 2 
7 12 11 
6 5 8 

10 1 6 
3 2 5 
4 9 8 

10 1 6 
3 2 5 
8 11 12 

10 1 6 
3 2 11 
4 9 8 

10 1 6 
3 2 11 
8 5 12 

10 1 6 
9 2 5 
4 3 8 

10 1 6 
9 2 5 
8 11 12 

10 1 6 
9 2 11 
4 3 8 

10 1 6 
9 2 11 
8 5 12 

10 1 12 
3 2 5 
4 9 8 

10 1 12 
3 2 5 
8 11 6 

10 1 12 
3 2 11 
4 9 8 

10 1 12 
3 2 11 
8 5 6 

10 1 12 
9 2 5 
4 3 8 

10 1 12 
9 2 5 
8 11 6 

10 1 12 
9 2 11 
4 3 8 

10 1 12 
9 2 11 
8 5 6 

10 3 4 
1 2 9 
6 5 8 

10 3 4 
1 2 9 
6 11 8 

10 3 4 
1 2 9 
12 5 8 

10 3 4 
1 2 9 
12 11 8 

10 3 4 
9 2 1 
8 5 6 

10 3 4 
9 2 1 
8 5 12 

10 3 4 
9 2 1 
8 11 6 

10 3 4 
9 2 1 
8 11 12 

10 3 8 
1 2 5 
6 11 12 

10 3 8 
1 2 5 
12 11 6 

10 3 8 
1 2 11 
6 5 12 

10 3 8 
1 2 11 
12 5 6 

10 3 8 
7 4 9 
6 1 2 

10 3 8 
7 4 9 
12 1 2 

10 3 8 
9 2 5 
4 1 6 

10 3 8 
9 2 5 
4 1 12 

10 3 8 
9 2 11 
4 1 6 

10 3 8 
9 2 11 
4 1 12 

10 7 6 
1 12 5 
2 11 8 

10 7 6 
1 12 11 
2 5 8 

10 7 6 
3 4 1 
8 9 2 

10 7 6 
9 4 1 
8 3 2 

10 7 12 
1 6 5 
2 11 8 

10 7 12 
1 6 11 
2 5 8 

10 7 12 
3 4 1 
8 9 2 

10 7 12 
9 4 1 
8 3 2 

10 9 4 
1 2 3 
6 5 8 

10 9 4 
1 2 3 
6 11 8 

10 9 4 
1 2 3 
12 5 8 

10 9 4 
1 2 3 
12 11 8 

10 9 4 
3 2 1 
8 5 6 

10 9 4 
3 2 1 
8 5 12 

10 9 4 
3 2 1 
8 11 6 

10 9 4 
3 2 1 
8 11 12 

10 9 8 
1 2 5 
6 11 12 

10 9 8 
1 2 5 
12 11 6 

10 9 8 
1 2 11 
6 5 12 

10 9 8 
1 2 11 
12 5 6 

10 9 8 
3 2 5 
4 1 6 

10 9 8 
3 2 5 
4 1 12 

